,id,title,price,discount_price,description,image,stock,available,created_time,category_id,format_id,rating_id,publishDate,availability_id,details,trailer,digital,updated_time,cost,description_zh,details_zh,AVG(score),product_id,COUNT(score)
0,1,Twinkle Twinkle Little Star An,39.99,,"## DESCRIPTION
Twinkle Twinkle Little Star is a wonderful collection of children's favourites, including classics such as ""Wheels on the Bus"", If you're Happy and you Know it"", ""Punchinello"", ""Thumberlina"" and of course the very popular ""Twinkle Twinkle Little Star"". R

## TRACKS

#### DISC 1

Twinkle, Twinkle Little Star

Punchinello

The Wheels On The Bus

Thumbelina

Yankee Doodle

Boys & Girls Come Out To Play

Five Little Ducks

Nicky Nacky Nocky Noo

Incy Wincy Spider

Little Boy Blue

Old King Cole

I Scream, You Scream, We All Scream For Ice Cream

Old Macdonald Had A Farm

Three Little Kittens

Humpty Dumpty

Baby Elephant Walk

Where, Oh Where, Has My Little Dog Gone

If You're Happy & You Know It

I Had A Little Nut Tree

Simple Simon

Sally Go Round The Sun

Little Miss Muffet

It's Raining, It's Pouring

For He's A Jolly Good Fellow

Diddle Diddle Dumpling

Frere Jacques

10 Little Indians

Please Pudding Hot

Shoo Fly

A Sailor Went To Sea

London's Burning

Miss Polly Had A Dolly",products/2021/11/02/1.png,100,1,2021-11-01 15:38:19.395432,23,8,3,2007-04-04,2,"Title: Twinkle Twinkle Little Star An

Format: CD

Release Date: 04 Apr 2007

Actor(s): Various Artists

Sku: 2195516

Catalogue No: R-301362-2

Category: Education",https://youtu.be/yCjJyiqpAuU,0,2021-11-02 16:20:03.336488,15.00,,,4.0,1,1
1,2,"Commuter | Blu-ray + UHD, The",17.00,,"### Commuter, The UHD/UV

Lives Are On The Line

In this action-packed thriller, Liam Neeson plays an insurance salesman, Michael, on his daily commute home, which quickly becomes anything but routine. After being contacted by a mysterious stranger, Michael is forced to uncover the identity of a hidden passenger on his train before the last stop. As he works against the clock to solve the puzzle, he realizes a deadly plan is unfolding and is unwittingly caught up in a criminal conspiracy. One that carries life and death stakes for himself and his fellow passengers.",products/2021/11/02/2.png,100,1,2021-11-01 15:42:23.480889,2,7,7,2018-03-09,1,"Title: Commuter | Blu-ray + UHD, The

Format: UHD UV

Release Date: 09 May 2018

Actor(s): Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks, Sam Neill, Elizabeth McGovern, Killian Scott, Shazad Latif, Andy Nyman, Clara Lago, Roland Møller, Florence Pugh, Dean-Charles Chapman, Ella-Rae Smith, Nila Aalia

Sku: 2369014

Catalogue No: BDUHDJ4349

Category: Action

Disc Count: 2

Aspect Ratio: 1.85:1

OFLC Rating: M

Run Time: 105

Transfer Format: 1080P HD, 16:9 Enhanced, Full Height Anamorphic, Widescreen

Video Format: PAL

Primary Audio: Dolby Atmos

Language: English, Dolby Atmos

Subtitles: English for the Hearing Impaired

Region Code: B

OFLC Advice: Coarse Language, Mature Themes And Violence

Dubbed Languages: English, Dolby Atmos

Director(s): Jaume Collet-Serra

Genre: Action/Adventure, Action, Mystery, Thriller",https://youtu.be/aDshY43Ol2U,0,2021-11-02 16:20:03.336488,10.00,,,7.3,2,1
2,3,Spider-Man - Homecoming,24.99,20.00,"Homework can wait. The city can't.

Spider-Man [Tom Holland] begins to navigate his new identity as the web-slinging super hero under the watchful eye of his mentor Tony Stark. Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",products/2021/11/02/3.png,100,1,2021-11-01 15:45:16.147721,2,7,7,2017-10-18,1,"Title: Spider-Man - Homecoming

Format: UHD UV

Release Date: 18 Oct 2017

Actor(s): Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Tony Revolori, Bokeem Woodbine, Tyne Daly, Abraham Attah, Hannibal Buress

Sku: 2345438

Catalogue No: BDUHDH2291

Category: Action

Disc Count: 2

Aspect Ratio: 2.40:1

OFLC Rating: M

Run Time: 133

Transfer Format: 1080P HD, 16:9 Enhanced, 2160P, Full Height Anamorphic, Widescreen

Video Format: PAL

Primary Audio: Dolby Atmos

Language: English, Dolby Atmos, German, Dolby Atmos, Japanese, Dolby Atmos

Subtitles: English, English Audio Commentary, English for the Hearing Impaired, German, Japanese, Turkish

Region Code: A,B,C

OFLC Advice: Action Violence

Director(s): Jon Watts

Genre: Action/Adventure, Science Fiction",https://youtu.be/n9DwoQ7HWvI,0,2021-11-02 16:20:03.336488,12.00,,,8.5,3,1
3,4,Earth - One Amazing Day,17.00,15.00,"## Earth - One Amazing Day UHD / Blu-Ray

One Day. One Planet. Infinite Wonders. The sequel to BBC's Earth: The Movie. Directed by Academy Award nominee Peter Webber (The Girl with the Pearl Earring) and Richard Dale (The Human Body).",products/2021/11/02/4.png,50,1,2021-11-01 15:49:16.551770,8,6,8,2018-03-28,1,"Title: Earth - One Amazing Day

Format: UHD/BR

Release Date: 28 Mar 2018

Actor(s): Robert Redford, Jackie Chan

Sku: 2364962

Catalogue No: BDUHDJ5286

Category: Documentary

Disc Count: 2

Aspect Ratio: 1.78:1

OFLC Rating: G

Run Time: 95

Transfer Format: 16:9 Enhanced, Widescreen, 1080P HD

Video Format: PAL

Primary Audio: Dolby Atmos

Language: English, Dolby Atmos, Mandarin, Dolby Atmos

Subtitles: Bulgarian, Danish, English, Finnish, Greek, Mandarin, Norwegian, Spanish, Swedish

Region Code: B

OFLC Advice: General Exhibition

Dubbed Languages: English, Dolby Atmos, Mandarin, Dolby Atmos

Director(s): Richard Dale, Lixin Fan

Genre: Special Interest, Family",https://youtu.be/LlmNg-27MrU,0,2021-11-02 16:20:03.336488,8.00,,,9.3,4,1
4,5,Jurassic Park / Jurassic Park - The Lost World / Jurassic Park III / Jurassic World / Jurassic World,129.99,114.99,"## Jurassic Park 1-5 UHD/Blu-Ray

#### Contains:
1. Jurassic Park
2. Jurassic Park - The Lost World
3. Jurassic Park III
4. Jurassic World
5. Jurassic World - Fallen Kingdom",products/2021/11/02/5.png,20,1,2021-11-01 15:52:33.924726,2,6,7,2018-09-26,1,"Title: Jurassic Park / Jurassic Park - The Lost World / Jurassic Park III / Jurassic World / Jurassic World

Format: UHD/BR

Release Date: 26 Sep 2018

Actor(s): Chris Pratt, Bryce Dallas Howard

Sku: 2379072

Catalogue No: BDUHDPD89847

Category: Action

Disc Count: 10

Aspect Ratio: 16:9

OFLC Rating: M

Transfer Format: 1080P HD

Video Format: PAL

Primary Audio: DTS-X

Language: English, DTS-X

Region Code: B

OFLC Advice: Violence

Genre: Action/Adventure, Action, Science Fiction",,0,2021-11-02 16:20:03.336488,40.00,,,6.6,5,1
5,6,Spirited Away - 20th Anniversary Edition - Limited Edition | Blu-ray + DVD,39.99,,"In a place that doesn't exist - something impossible happens.

Hayao Miyazakis Academy Award-winning masterpiece returns in celebration of its 20th Anniversary. Chihiro thinks she is on another boring trip with her parents. But when they stop at a village that is not all that it seems, her parents undergo a mysterious transformation, and Chihiro is whisked into a world of fantastic spirits, shape-shifting dragons and a witch who never wants to see her leave. She must call on the courage she never knew she had to free herself and return her family to the outside world. The second biggest box office hit of all time in Japan, Spirited Away helped redefine the possibilities of animation for Western audiences and a generation of new filmmakers. Combining Japanese mythology with Alice in Wonderland-type whimsy, Spirited Away cemented Miyazakis reputation as an icon of animation and storytelling.",products/2021/11/02/6.png,50,1,2021-11-01 15:56:19.005055,13,5,4,2021-11-02,1,"Title: Spirited Away - 20th Anniversary Edition - Limited Edition | Blu-ray + DVD

Format: Blu-ray/DVD

Release Date: 03 Nov 2021

Actor(s): Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô, Yasuko Sawaguchi, Tatsuya Gashûin, Yumi Tamai, Yo Oizumi, Koba Hayashi, Tsunehiko Kamij, Takehiko Ono, Ryunosuke Kamiki, Bunta Sugawara, Akio Nakamura, Ken Yasuda, Shiro Saito, Michiko Yamamoto,

Sku: 2651058

Catalogue No: MMA3006BR20

Category: Anime

Disc Count: 2

Aspect Ratio: 16:9

OFLC Rating: PG

Run Time: 125

Transfer Format: 16:9 Enhanced, Widescreen, 1080P HD

Video Format: NTSC

Primary Audio: Dolby Digital

Language: English, Dolby Digital, Japanese, Dolby Digital

Subtitles: English

Region Code: 4,B

OFLC Advice: Supernatural Themes

Dubbed Languages: English, Dolby Digital, Japanese, Dolby Digital

Director(s): Hayao Miyazaki

Genre: Children & Family, Animated",https://youtu.be/0YjtfKDL3TM,0,2021-11-02 16:20:03.336488,20.00,,,5.2,6,1
6,7,My Hero Academia - Two Heroes,39.99,,"Deku and his friends take on a daring rescue operation when villains hack into I-Expo-the world's leading hero item exhibition. All Might is trapped by their sinister plan, and his best hope for saving everyone lies in the new generation of heroes.",products/2021/11/02/7.png,100,1,2021-11-01 15:59:03.651936,13,5,7,2019-03-08,1,"Title: My Hero Academia - Two Heroes

Format: Blu-ray/DVD

Release Date: 08 May 2019

Actor(s): Anime

Sku: 2613083

Catalogue No: FN-02119MMY

Category: Anime",https://youtu.be/eU7FlWNWr8o,0,2021-11-02 16:20:03.336488,10.00,,,4.8,7,1
7,8,Trolls World Tour | 3D + 2D Blu-ray,24.99,20.00,"## Trolls World Tour Blu-Ray 3D
 

When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.",products/2021/11/02/8.png,100,1,2021-11-01 16:01:54.657420,9,4,8,2020-11-02,1,"Title: Trolls World Tour | 3D + 2D Blu-ray

Format: Blu-ray 3D

Release Date: 09 Dec 2020

Actor(s): Anna Kendrick, Justin Timberlake, Rachel Bloom, James Corden, Ron Funches, Kelly Clarkson, Anderson .Paak, Sam Rockwell, George Clinton, Mary J. Blige, Kenan Thompson, Kunal Nayyar, Caroline Hjelt, Aino Jawo, J Balvin

Sku: 2602225

Catalogue No: B3DL6588

Category: Animated

Disc Count: 2

Aspect Ratio: 2.35:1

OFLC Rating: G

Run Time: 90

Transfer Format: 16:9 Enhanced, Widescreen, 1080P HD, Full Height Anamorphic

Video Format: PAL

Primary Audio: Dolby Atmos

Language: Dutch, Dolby Atmos, English, Dolby Atmos, Flemish, Dolby Atmos, French, Dolby Atmos, Hindi, Dolby Atmos, Mandarin, Dolby Atmos, Portuguese, Dolby Atmos, Spanish, Dolby Atmos

Subtitles: Dutch, English for the Hearing Impaired, French, Hindi, Mandarin, Portuguese, Spanish

Region Code: B

OFLC Advice: Coarse Language And Violence, Crude Humour, Very Mild Themes

Dubbed Languages: Dutch, Dolby Atmos, English, Dolby Atmos, Flemish, Dolby Atmos, French, Dolby Atmos, Hindi, Dolby Atmos, Mandarin, Dolby Atmos, Portuguese, Dolby Atmos, Spanish, Dolby Atmos

Director(s): Walt Dohrn, David P. Smith

Genre: Children & Family, Animated, Animation, Comedy, Family, Fantasy, Musical",https://www.youtube.com/watch?v=yP86-TR6IME,0,2021-11-02 16:20:03.336488,15.00,,,3.9,8,1
8,9,Wonder Woman,14.99,,"##  Wonder Woman on 3D Blu-ray
 

Power. Grace. Wisdom. Wonder.

Before she was Wonder Woman, she was Diana, princess of the Amazons, trained to be an unconquerable warrior. Raised on a sheltered island paradise, when an American pilot crashes on their shores and tells of a massive conflict raging in the outside world, Diana leaves her home, convinced she can stop the threat. Fighting alongside man in a war to end all wars, Diana will discover her full powers - and her true destiny.",products/2021/11/02/9.png,100,1,2021-11-01 16:03:55.975158,2,4,7,2017-09-02,1,"Title: Wonder Woman

Format: Blu-ray 3D

Release Date: 20 Sep 2017

Actor(s): Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston, David Thewlis, Saïd Taghmaoui, Ewen Bremner, Eugene Brave Rock, Lucy Davis, Elena Anaya, Lilly Aspell, Lisa Loven Kongsli, Ann Wolfe, Ann Ogbomo

Sku: 2345696

Catalogue No: R-126740-8

Category: Action

Disc Count: 2

Aspect Ratio: 2.35:1

OFLC Rating: M

Run Time: 140

Transfer Format: 16:9 Enhanced, Widescreen, 1080P HD, Full Height Anamorphic

Video Format: PAL

Primary Audio: Dolby Atmos

Language: English, Dolby Atmos

Region Code: B

Genre: Action/Adventure, Fantasy, Science Fiction",https://www.youtube.com/watch?v=1Q8fG0TtVAY,0,2021-11-02 16:20:03.336488,10.00,,,2.6,9,1
9,10,Hover over image to zoom  Jungle Cruise | Blu-ray + UHD,39.99,,"## Jungle Cruise 4K UHD
 

Join fan favourites Dwayne Johnson and Emily Blunt for the adventure of a lifetime on Disneys Jungle Cruise, a rollicking thrill-ride down the Amazon with wisecracking skipper Frank Wolff and intrepid researcher Dr. Lily Houghton. Lily travels from London, England to the Amazon jungle and enlists Franks questionable services to guide her downriver on La Quilahis ramshackle-but-charming boat. Lily is determined to uncover an ancient tree with unparalleled healing abilitiespossessing the power to change the future of medicine. Thrust on this epic quest together, the unlikely duo encounters innumerable dangers and supernatural forces, all lurking in the deceptive beauty of the lush rainforest. But as the secrets of the lost tree unfold, the stakes reach even higher for Lily and Frank and their fateand mankindshangs in the balance.",products/2021/11/02/10.png,100,1,2021-11-01 16:10:41.359032,3,3,7,2021-10-06,1,"Title: Jungle Cruise | Blu-ray + UHD

Format: UHD

Release Date: 06 Oct 2021

Actor(s): Dwayne Johnson, Emily Blunt, Edgar Ramírez, Jack Whitehall, Jesse Plemons, Paul Giamatti, Dani Rovira, Sulem Calderon, Veronica Falcón

Sku: 2648203

Catalogue No: K36328

Category: Comedy

Disc Count: 2

Aspect Ratio: 2.40:1

OFLC Rating: M

Run Time: 127

Transfer Format: 16:9 Enhanced, Widescreen, 1080P HD, 2160P, Full Height Anamorphic

Video Format: PAL

Primary Audio: Dolby Atmos

Language: English, Dolby Atmos

Region Code: B

OFLC Advice: Fantasy Themes And Violence

Director(s): Jaume Collet-Serra

Genre: Action/Adventure, Action, Adventure, Comedy",https://www.youtube.com/watch?v=f_HvoipFcA8&t=24s,0,2021-11-02 16:20:03.336488,12.00,,,1.7,10,1
10,11,A Clockwork Orange | Blu-ray + UHD,29.99,,"Being the adventures of a young man ... who couldn't resist pretty girls ... or a bit of the old ultra-violence ... went to jail, was re-conditioned .

Being the adventures of a young man...who loved a bit of the old ultra-violence...went to jail, was brainwashed...and came out cured...or was he? In a futuristic welfare state, Alex, a vicious young hoodlum, sleeps all day and spends his nights roaming the city with his droogs (friends), assaulting innocent people in the streets and in their homes. Finally captured by the police, Alex undergoes rehabilitation in the form of aversion therapy as brutal and horrifying as any of his offenses.",products/2021/11/02/11.png,100,1,2021-11-01 16:13:25.259166,1,3,2,2021-09-22,1,"Title: A Clockwork Orange | Blu-ray + UHD

Format: UHD

Release Date: 22 Sep 2021

Actor(s): Malcolm McDowell, Patrick Magee, Adrienne Corri, Michael Bates, Miriam Karlin, Warren Clarke, John Clive, Carl Duering, Paul Farrell, Clive Francis, Michael Gover, James Marcus, Aubrey Morris, Godfrey Quigley, Sheila Raynor, Madge Ryan, John Savident

Sku: 2645445

Catalogue No: R-129203-8

Category: Drama

Disc Count: 2

Aspect Ratio: 16:9

OFLC Rating: R18+

Transfer Format: 16:9 Enhanced, Widescreen, 2160P, 1080P HD

Video Format: PAL

Primary Audio: Dolby Digital

Language: English, Dolby Digital

Region Code: B

OFLC Advice: High Level Violence

Production Studio: Warner

Dubbed Languages: English, Dolby Digital

Director(s): Stanley Kubrick

Genre: Drama,",,0,2021-11-02 16:20:03.336488,10.00,,,9.6,11,1
11,12,Jingle All The Way,8.99,,"##  Jingle All The Way DVD
 

Two Dads, One Toy, No Prisoners.

Arnold Schwarzenegger stars in this hilarious holiday comedy as a father desperate to buy that must-have Christmas toy during a frantic last-minute shopping spree on Christmas eve. Howard Langston (Schwarzenegger) has promised his young son a Turbo Man action figure for Christmas, unaware it's the season's hottest-selling toy. And so begins a frenzied quest that pits Howard against a stressed-out mailman (Sinbad), a sleazy Santa impersonator (James Belushi) and every other harried parent in town, in the best holiday family film in years.",products/2021/11/02/12.png,100,1,2021-11-01 16:16:30.758136,3,1,4,2018-11-02,1,"Title: Jingle All The Way

Format: DVD

Release Date: 17 Oct 2018

Actor(s): Arnold Schwarzenegger, Sinbad, Phil Hartman

Sku: 2394932

Catalogue No: 95942SDG

Category: Comedy

Disc Count: 1

Aspect Ratio: 16:9

OFLC Rating: PG

Run Time: 86

Transfer Format: 16:9 Enhanced, Widescreen

Video Format: PAL

Primary Audio: Dolby Digital

Language: English, Dolby Digital

Region Code: 4

OFLC Advice: Low Level Violence

Director(s): Brian Levant

Genre: Comedy,",https://www.youtube.com/watch?v=jhJYMEzQA-Q,0,2021-11-02 16:20:03.336488,13.00,,,10.0,12,1
12,13,"Beatles - Eight Days A Week - The Touring Years, The",8.99,,"The band you know. The story you don't.

The Beatles: Eight Days A Week - The Touring Years is based on the first part of The Beatles career (1962-1966) the period in which they toured and captured the worlds acclaim. Ron Howards film will explore how John Lennon, Paul McCartney, George Harrison and Ringo Starr came together to become this extraordinary phenomenon, The Beatles. It will explore their inner workings how they made decisions, created their music and built their collective career together all the while, exploring The Beatles extraordinary and unique musical gifts and their remarkable, complementary personalities. The film will focus on the time period from the early Beatles journey in the days of The Cavern Club in Liverpool to their last concert at Candlestick Park in San Francisco in 1966.",products/2021/11/02/13.png,50,1,2021-11-01 16:18:47.170948,8,1,7,2016-12-07,1,"Title: Beatles - Eight Days A Week - The Touring Years, The

Format: DVD

Release Date: 07 Dec 2016

Actor(s): Paul McCartney, Ringo Starr, John Lennon, George Harrison, The Beatles, Larry Kane, Whoopi Goldberg, Elvis Costello, Eddie Izzard, Sigourney Weaver, Neil Aspinall, Richard Lester, Kitty Oliver, Howard Goodall, Jon Savage

Sku: 2324166

Catalogue No: DAI2901

Category: Documentary

Disc Count: 1

Aspect Ratio: 1.85:1

OFLC Rating: M

Run Time: 106

Transfer Format: Full Height Anamorphic, 16:9 Enhanced, Widescreen

Video Format: PAL

Primary Audio: Dolby Digital

Language: English, Dolby Digital

Subtitles: English for the Hearing Impaired

Region Code: 4

OFLC Advice: Coarse Language

Director(s): Ron Howard

Genre: Special Interest, Music",https://www.youtube.com/watch?v=0fFyZzqPDws,0,2021-11-02 16:20:03.336488,10.00,,,8.8,13,1
